scenario,protocol,metric,value,details
A_Normal_Routing,RIP,path,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,
A_Normal_Routing,RIP,hop_count,6,
A_Normal_Routing,OSPF,path,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,
A_Normal_Routing,OSPF,static_path_cost,27.805556,
A_Normal_Routing,IS-IS,path,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,
A_Normal_Routing,IS-IS,configured_path_metric,8.7,
A_Normal_Routing,BGP,path,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,
A_Normal_Routing,BGP,as_path_length,6,
A_Normal_Routing,ASHR,path,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,
A_Normal_Routing,ASHR,path_cost,2.176907,
B_Link_Failure,RIP,convergence_rounds,5,
B_Link_Failure,RIP,control_messages,150,
B_Link_Failure,RIP,estimated_packet_loss,500,
B_Link_Failure,OSPF,convergence_time_units,2,
B_Link_Failure,OSPF,control_messages,60,
B_Link_Failure,OSPF,estimated_packet_loss,200,
B_Link_Failure,IS-IS,convergence_time_units,2,
B_Link_Failure,IS-IS,control_messages,32,
B_Link_Failure,IS-IS,estimated_packet_loss,200,
B_Link_Failure,BGP,convergence_time_units,6,
B_Link_Failure,BGP,control_messages,180,
B_Link_Failure,BGP,estimated_packet_loss,600,
B_Link_Failure,ASHR,recovery_time_units,1.0,
B_Link_Failure,ASHR,control_messages,16.0,
B_Link_Failure,ASHR,estimated_packet_loss,100.0,
B_Link_Failure,ASHR,used_backup,True,
C_Congestion_Change,RIP,path_changed,False,
C_Congestion_Change,OSPF,path_changed,False,
C_Congestion_Change,IS-IS,path_changed,False,
C_Congestion_Change,BGP,path_changed,False,
C_Congestion_Change,ASHR,metric_update_triggered,True,
C_Congestion_Change,ASHR,updated_link_old_cost,0.2,
C_Congestion_Change,ASHR,updated_link_new_cost,0.8,
C_Congestion_Change,ASHR,updated_link_new_error_component,1.0,
C_Congestion_Change,OSPF,after_path_cost,27.805556,
C_Congestion_Change,IS-IS,after_path_cost,8.7,
C_Congestion_Change,BGP,after_path_cost,6,
C_Congestion_Change,ASHR,before_path_cost,2.176907,
C_Congestion_Change,ASHR,after_path_cost,1.941452,
D_Fake_Update_Attack,RIP,attack_accepted,True,
D_Fake_Update_Attack,OSPF,attack_accepted,True,
D_Fake_Update_Attack,IS-IS,attack_accepted,True,
D_Fake_Update_Attack,BGP,attack_accepted,True,
D_Fake_Update_Attack,ASHR,spoofed_attack_accepted,False,sender is not a trusted neighbor
D_Fake_Update_Attack,ASHR,fake_low_cost_accepted,False,fake low-cost route rejected
E_Replay_Attack,ASHR,first_message_accepted,True,accepted
E_Replay_Attack,ASHR,replayed_message_accepted,False,replayed or stale sequence number
