scenario,protocol,source,destination,before_path,after_path,backup_path,before_cost,after_cost
B_Link_Failure,RIP,R1,R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,R1 -> R2 -> R3 -> R6 -> ABR2 -> R8 -> R10,,6.0,
B_Link_Failure,OSPF,R1,R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,R1 -> R2 -> R3 -> R6 -> ABR2 -> R8 -> R10,,27.805556,38.472222
B_Link_Failure,IS-IS,R1,R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,R1 -> R2 -> R5 -> R6 -> ABR2 -> R8 -> R10,,8.7,9.3
B_Link_Failure,BGP,R1,R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,R1 -> R2 -> R3 -> R6 -> ABR2 -> R8 -> R10,,6.0,6
B_Link_Failure,ASHR,R1,R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,R1 -> R4 -> R5 -> R6 -> ABR2 -> R8 -> R10,R1 -> R4 -> R5 -> R6 -> ABR2 -> R8 -> R10,2.176907,3.189738
C_Congestion_Change,RIP,R1,R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,,6.0,6
C_Congestion_Change,OSPF,R1,R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,,27.805556,27.805556
C_Congestion_Change,IS-IS,R1,R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,,8.7,8.7
C_Congestion_Change,BGP,R1,R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,,6.0,6
C_Congestion_Change,ASHR,R1,R10,R1 -> R2 -> R3 -> ABR1 -> ABR2 -> R8 -> R10,R1 -> R2 -> R3 -> R6 -> ABR2 -> R8 -> R10,,2.176907,1.941452
